Date,Open,High,Low,Close,AdjClose,Volume
1995-04-17,21.750000,23.000000,21.500000,22.906250,16.328726,74475600
1995-04-24,22.875000,24.218750,22.750000,23.656250,16.863352,79361600
1995-05-01,23.468750,24.031250,22.906250,23.281250,16.596035,67563200
1995-05-08,23.187500,23.906250,23.156250,23.593750,16.863531,54493600
1995-05-15,23.625000,24.031250,23.062500,23.343750,16.684853,58172800
1995-05-22,23.375000,24.468750,23.375000,23.750000,16.975222,56119600
1995-05-29,23.906250,23.937500,22.875000,23.468750,16.774189,41680400
1995-06-05,22.937500,23.375000,22.093750,22.281250,15.925439,78009600
1995-06-12,22.625000,23.500000,22.437500,23.156250,16.550827,53412400
1995-06-19,23.343750,24.843750,23.312500,24.656250,17.622950,65327600
1995-06-26,24.625000,24.812500,23.593750,24.000000,17.153896,52907600
1995-07-03,24.062500,25.156250,23.937500,24.875000,17.779312,37431600
1995-07-10,25.000000,26.062500,24.875000,25.968750,18.561069,53522800
1995-07-17,26.031250,27.156250,24.437500,25.906250,18.516382,122770000
1995-07-24,26.031250,27.812500,25.875000,27.656250,19.767193,78406800
1995-07-31,27.656250,27.937500,26.406250,27.156250,19.409815,53066000
1995-08-07,27.281250,27.593750,27.093750,27.312500,19.521494,37968000
1995-08-14,27.312500,28.656250,27.312500,27.843750,19.947006,56495600
1995-08-21,27.843750,27.843750,25.937500,25.968750,18.603771,80133200
1995-08-28,25.937500,26.125000,24.656250,25.687500,18.402281,70579200
1995-09-04,25.750000,25.750000,24.531250,24.718750,17.708286,81066400
1995-09-11,24.562500,24.687500,22.906250,23.062500,16.521769,169902800
1995-09-18,23.125000,24.531250,23.093750,23.468750,16.812799,67365600
1995-09-25,23.500000,23.843750,22.968750,23.625000,16.924726,63557600
1995-10-02,23.750000,23.906250,23.343750,23.531250,16.857563,50947200
1995-10-09,23.468750,23.562500,22.281250,23.125000,16.566536,70193600
1995-10-16,23.125000,24.625000,22.812500,23.843750,17.081444,122146800
1995-10-23,23.906250,24.812500,23.656250,24.125000,17.282930,63297200
1995-10-30,24.375000,25.375000,24.093750,25.375000,18.178419,58920800
1995-11-06,25.312500,25.593750,24.156250,24.343750,17.439640,60860800
1995-11-13,24.375000,24.500000,23.687500,23.781250,17.079916,50651600
1995-11-20,23.750000,24.156250,23.250000,23.968750,17.214569,34792000
1995-11-27,24.125000,24.531250,23.687500,23.687500,17.012579,51983200
1995-12-04,23.750000,24.312500,23.500000,24.218750,17.394129,55120000
1995-12-11,24.281250,24.312500,22.468750,22.562500,16.204588,69083200
1995-12-18,22.500000,23.000000,21.937500,22.812500,16.384136,73027200
1995-12-25,23.000000,23.031250,22.375000,22.843750,16.406590,31033200
1996-01-01,22.843750,23.031250,21.406250,22.156250,15.912824,70400000
1996-01-08,22.156250,22.312500,21.500000,21.593750,15.508825,70333200
1996-01-15,21.625000,26.031250,20.781250,25.500000,18.314327,144720000
1996-01-22,25.375000,27.250000,25.187500,26.187500,18.808105,102440000
1996-01-29,26.187500,27.593750,26.062500,27.406250,19.683418,76662800
1996-02-05,27.343750,28.781250,27.312500,28.375000,20.379187,75663200
1996-02-12,28.531250,29.718750,28.375000,29.500000,21.233423,84771600
1996-02-19,29.187500,31.531250,29.187500,31.406250,22.605501,75606000
1996-02-26,30.968750,32.218750,29.250000,29.531250,21.255926,108880800
